iteration,round_1,round_2,round_3,round_4,round_5
1,47.725,47.887,47.512,47.937,48.049
2,47.725,47.887,47.512,47.937,48.049
3,47.725,47.887,47.512,47.576,48.049
4,47.725,47.887,47.512,47.576,48.049
5,47.725,47.887,47.512,47.576,48.049
6,47.725,47.887,47.512,47.576,48.049
7,47.725,47.887,47.512,47.576,48.049
8,47.725,47.887,47.512,47.576,48.049
9,47.725,47.887,47.512,47.576,48.049
10,47.725,47.887,47.512,47.576,48.049
11,47.725,47.887,47.512,47.576,48.049
12,47.725,47.887,47.512,47.576,48.049
13,47.725,47.887,47.512,47.576,48.049
14,47.725,47.887,47.512,47.576,48.049
15,47.725,47.887,47.512,47.576,48.049
16,47.725,47.887,47.512,47.576,48.049
17,47.725,47.887,47.512,47.576,48.049
18,47.725,47.887,47.512,47.576,48.049
19,47.725,47.887,47.512,47.576,48.049
20,47.725,47.887,47.512,47.576,48.049
21,47.725,47.887,47.512,47.576,48.049
22,47.725,47.887,47.512,47.576,48.049
23,47.725,47.887,47.512,47.576,48.049
24,47.725,47.887,47.512,47.576,48.049
25,47.725,47.887,47.512,47.576,48.049
26,47.725,47.887,47.512,47.576,48.049
27,47.725,47.887,47.512,47.576,48.049
28,47.725,47.755,47.512,47.576,48.049
29,47.725,47.755,47.512,47.576,48.049
30,47.725,47.551,47.512,47.576,48.049
31,47.725,47.551,47.512,47.576,48.049
32,47.725,47.551,47.512,47.576,48.049
33,47.725,47.551,47.512,47.576,48.049
34,47.725,47.551,47.512,47.576,48.049
35,47.725,47.551,47.512,47.576,48.049
36,47.725,47.551,47.512,47.576,48.049
37,47.725,47.551,47.512,47.576,48.049
38,47.725,47.551,47.512,47.576,48.049
39,47.725,47.551,47.512,47.576,48.049
40,47.725,47.551,47.512,47.576,48.049
41,47.362,47.551,47.512,47.576,48.049
42,47.362,47.551,47.512,47.576,48.049
43,47.362,47.551,47.512,47.576,48.049
44,47.362,47.551,47.512,47.576,48.049
45,47.362,47.551,47.512,47.576,48.049
46,47.362,46.815,47.512,47.576,48.049
47,47.362,46.815,47.512,47.576,48.049
48,47.362,46.815,47.512,47.576,48.049
49,47.362,46.815,47.512,47.576,48.049
50,47.362,46.815,47.512,47.576,48.049
51,47.362,46.815,47.512,47.576,48.049
52,47.362,46.815,47.512,47.576,48.049
53,47.362,46.815,47.512,47.576,48.049
54,47.362,46.815,47.512,47.576,48.049
55,47.362,46.815,47.512,47.576,48.049
56,47.362,46.815,47.512,47.576,48.049
57,47.362,46.815,47.512,47.576,48.049
58,47.362,46.815,47.512,47.576,48.049
59,47.362,46.815,47.512,47.576,48.049
60,47.362,46.815,47.512,47.576,48.049
61,47.362,46.815,47.512,47.576,48.049
62,47.362,46.815,47.512,47.576,48.049
63,47.362,46.815,47.512,47.576,48.049
64,47.362,46.815,47.512,47.576,48.049
65,47.362,46.815,47.512,47.576,48.049
66,47.362,46.815,47.512,47.576,48.049
67,47.362,46.815,47.512,47.576,48.049
68,47.362,46.815,47.512,47.576,48.049
69,47.362,46.815,47.512,47.576,48.049
70,47.362,46.815,47.512,47.576,48.049
71,47.362,46.815,47.512,47.576,48.049
72,47.362,46.815,47.512,47.576,48.049
73,47.362,46.815,47.512,47.576,48.049
74,47.362,46.815,47.512,47.576,48.049
75,47.362,46.815,47.512,47.576,48.049
76,47.362,46.815,47.512,47.576,48.049
77,47.362,46.815,47.512,47.576,48.049
78,47.362,46.815,47.512,47.576,48.049
79,47.362,46.815,47.512,47.576,48.049
80,47.362,46.815,47.512,47.576,48.049
81,47.362,46.815,47.512,47.576,48.049
82,47.362,46.815,47.512,47.576,48.049
83,47.362,46.815,47.512,47.576,48.049
84,47.362,46.815,47.512,47.576,48.049
85,47.362,46.815,47.512,47.576,48.049
86,47.362,46.815,47.512,47.576,48.049
87,47.362,46.815,47.512,47.576,48.049
88,47.362,46.815,47.512,47.576,48.049
89,47.362,46.815,47.512,47.576,48.049
90,47.362,46.815,47.512,47.576,48.049
91,47.362,46.815,47.512,47.576,48.049
92,47.362,46.815,47.512,47.576,48.049
93,47.362,46.815,47.512,47.576,48.049
94,47.362,46.815,47.512,47.576,48.049
95,47.362,46.815,47.512,47.576,48.049
