iteration,round_1,round_2,round_3,round_4,round_5
1,57.722,54.426,54.667,54.455,57.493
2,54.775,54.426,54.667,54.455,54.591
3,54.775,54.426,54.667,54.455,54.591
4,54.775,54.426,54.667,54.234,54.591
5,54.775,54.426,54.667,54.234,54.532
6,54.775,54.181,54.667,54.234,54.532
7,54.775,54.181,54.667,54.234,54.532
8,54.552,54.181,54.667,54.234,54.361
9,54.552,54.181,54.188,54.234,54.361
10,54.337,54.181,54.188,54.234,54.361
11,54.259,54.181,54.188,54.234,54.361
12,54.259,54.181,54.188,54.234,54.361
13,54.259,54.181,54.188,54.234,54.361
14,54.259,50.459,54.188,54.234,54.361
15,54.206,50.459,54.188,54.234,54.361
16,54.206,50.459,54.188,54.234,54.361
17,54.206,50.459,54.188,54.234,54.154
18,54.106,50.459,54.188,54.234,54.154
19,54.106,50.459,54.188,54.234,54.154
20,54.106,50.459,54.188,54.234,54.154
21,54.106,50.459,54.188,54.234,54.154
22,54.106,50.459,54.188,54.234,54.138
23,54.106,50.459,54.188,54.234,54.138
24,54.106,50.459,54.188,54.234,54.138
25,54.106,50.459,54.188,54.234,54.138
26,54.106,50.459,54.188,54.234,54.138
27,54.106,50.459,54.188,54.234,54.138
28,54.106,50.459,54.188,54.234,54.138
29,54.106,50.459,54.188,54.234,54.136
30,54.106,50.459,54.188,54.234,54.136
31,54.106,50.459,54.188,54.234,54.136
32,54.106,50.459,54.188,54.234,54.136
33,54.106,50.459,54.188,54.234,54.136
34,54.106,50.459,54.188,54.234,54.136
35,54.106,50.459,54.188,54.234,54.136
36,54.106,50.459,54.188,54.234,54.136
37,54.106,50.459,54.188,54.234,54.136
38,54.106,50.459,54.188,54.234,54.13
39,54.106,50.459,54.188,54.234,54.13
40,54.106,50.459,54.145,54.234,54.13
41,54.106,50.459,54.145,54.234,54.13
42,54.106,50.459,54.145,54.234,54.13
43,54.106,50.459,54.145,54.234,54.13
44,54.106,50.459,54.145,54.234,54.13
45,54.106,50.459,54.145,54.234,54.13
46,54.106,50.459,54.145,54.234,54.13
47,54.106,50.459,54.145,54.234,54.13
48,54.106,50.459,54.078,54.234,54.13
49,54.106,50.459,54.078,54.234,54.13
50,54.106,50.459,54.078,54.234,54.13
51,54.106,50.459,54.078,54.234,54.13
52,54.106,50.459,54.078,54.234,54.13
53,54.106,50.459,54.078,54.234,54.13
54,54.106,50.459,54.078,54.234,54.13
55,54.106,50.459,54.078,54.234,54.13
56,54.106,50.459,54.078,54.234,54.13
57,54.106,50.459,54.078,54.234,54.13
58,54.106,50.459,54.078,54.234,54.097
59,54.106,50.459,54.078,54.234,54.097
60,54.106,50.459,54.078,54.202,54.097
61,54.106,50.459,54.078,54.202,54.097
62,54.106,50.459,54.078,54.202,54.097
63,54.106,50.459,54.078,54.202,54.097
64,54.106,50.459,54.078,54.202,54.097
