iteration,round_1,round_2,round_3,round_4,round_5
1,11.909,12.699,11.875,12.1,12.509
2,11.909,11.889,11.875,12.1,12.509
3,11.909,11.889,11.743,12.01,11.887
4,11.909,11.889,11.743,12.01,11.887
5,11.909,11.889,11.743,11.989,11.887
6,11.909,11.889,11.743,11.989,11.887
7,11.909,11.889,11.743,11.989,11.887
8,11.909,11.889,11.743,11.862,11.887
9,11.909,11.889,11.743,11.862,11.887
10,11.909,11.889,11.743,11.862,11.887
11,11.909,11.869,11.743,11.862,11.887
12,11.904,11.869,11.743,11.862,11.887
13,11.904,11.869,11.743,11.862,11.887
14,11.904,11.869,11.743,11.862,11.887
15,11.904,11.869,11.743,11.862,11.887
16,11.904,11.869,11.743,11.862,11.887
17,11.904,11.869,11.743,11.862,11.887
18,11.904,11.753,11.743,11.862,11.887
19,11.904,11.753,11.743,11.854,11.887
20,11.904,11.704,11.743,11.854,11.887
21,11.904,11.704,11.743,11.854,11.887
22,11.904,11.704,11.743,11.854,11.887
23,11.904,11.704,11.743,11.852,11.887
24,11.904,11.704,11.743,11.852,11.887
25,11.904,11.704,11.743,11.852,11.887
26,11.904,11.704,11.743,11.852,11.887
27,11.904,11.704,11.743,11.852,11.887
28,11.904,11.704,11.743,11.852,11.887
29,11.904,11.704,11.743,11.852,11.887
30,11.904,11.704,11.743,11.852,11.887
31,11.904,11.704,11.743,11.852,11.887
32,11.904,11.704,11.743,11.852,11.887
33,11.904,11.704,11.743,11.852,11.887
34,11.904,11.704,11.743,11.852,11.887
35,11.74,11.704,11.743,11.852,11.887
36,11.74,11.704,11.743,11.852,11.815
37,11.74,11.704,11.743,11.852,11.815
38,11.74,11.704,11.743,11.852,11.815
39,11.74,11.704,11.743,11.852,11.815
40,11.74,11.704,11.743,11.852,11.815
41,11.74,11.704,11.743,11.852,11.815
42,11.74,11.704,11.743,11.852,11.815
43,11.74,11.704,11.743,11.852,11.815
44,11.74,11.704,11.743,11.852,11.815
45,11.74,11.704,11.743,11.852,11.815
46,11.74,11.704,11.743,11.852,11.815
47,11.74,11.704,11.743,11.852,11.815
48,11.74,11.704,11.743,11.852,11.815
49,11.74,11.704,11.743,11.852,11.815
50,11.74,11.704,11.743,11.852,11.815
51,11.74,11.704,11.743,11.852,11.815
52,11.74,11.704,11.743,11.852,11.801
53,11.74,11.704,11.743,11.852,11.801
54,11.74,11.704,11.743,11.852,11.801
55,11.74,11.704,11.743,11.852,11.801
56,11.74,11.704,11.743,11.852,11.801
57,11.74,11.704,11.743,11.852,11.801
58,11.74,11.704,11.743,11.852,11.801
59,11.74,11.704,11.743,11.852,11.801
60,11.74,11.704,11.743,11.852,11.801
61,11.74,11.704,11.743,11.852,11.801
62,11.74,11.704,11.743,11.852,11.45
63,11.74,11.704,11.743,11.852,11.45
64,11.74,11.704,11.743,11.852,11.45
65,11.74,11.704,11.743,11.852,11.45
66,11.74,11.704,11.743,11.852,11.45
67,11.74,11.704,11.743,11.852,11.45
68,11.74,11.704,11.743,11.852,11.45
69,11.74,11.704,11.743,11.852,11.45
70,11.74,11.704,11.743,11.852,11.45
71,11.74,11.704,11.743,11.852,11.45
72,11.74,11.704,11.743,11.852,11.44
73,11.74,11.704,11.743,11.852,11.44
74,11.74,11.704,11.743,11.852,11.44
75,11.74,11.704,11.743,11.852,11.44
76,11.74,11.704,11.743,11.852,11.44
77,11.74,11.704,11.743,11.852,11.44
78,11.74,11.704,11.743,11.852,11.44
79,11.74,11.704,11.743,11.852,11.44
80,11.74,11.704,11.743,11.852,11.44
81,11.74,11.704,11.743,11.852,11.44
82,11.74,11.646,11.743,11.852,11.44
83,11.49,11.646,11.743,11.852,11.44
84,11.49,11.646,11.743,11.852,11.44
85,11.49,11.337,11.743,11.852,11.44
86,11.49,11.337,11.743,11.852,11.44
87,11.49,11.337,11.743,11.852,11.44
88,11.49,11.337,11.743,11.852,11.44
89,11.49,11.337,11.743,11.852,11.44
90,11.49,11.337,11.743,11.852,11.44
91,11.49,11.337,11.743,11.852,11.44
92,11.49,11.337,11.743,11.852,11.44
93,11.49,11.337,11.743,11.852,11.44
94,11.49,11.337,11.743,11.852,11.44
95,11.49,11.337,11.743,11.852,11.44
96,11.49,11.337,11.743,11.852,11.44
97,11.49,11.337,11.743,11.852,11.44
98,11.49,11.337,11.743,11.852,11.44
99,11.49,11.337,11.743,11.852,11.44
100,11.49,11.337,11.743,11.852,11.44
101,11.49,11.337,11.743,11.852,11.44
102,11.49,11.337,11.743,11.852,11.44
103,11.49,11.337,11.743,11.852,11.44
104,11.49,11.337,11.743,11.852,11.44
105,11.49,11.337,11.743,11.852,11.44
106,11.49,11.337,11.743,11.852,11.44
107,11.49,11.337,11.743,11.852,11.44
108,11.49,11.337,11.743,11.852,11.44
109,11.49,11.337,11.743,11.852,11.44
110,11.49,11.337,11.743,11.852,11.44
111,11.49,11.337,11.743,11.852,11.44
112,11.49,11.337,11.743,11.852,11.44
113,11.49,11.337,11.743,11.852,11.44
114,11.49,11.337,11.743,11.852,11.44
115,11.49,11.337,11.743,11.852,11.44
116,11.49,11.337,11.743,11.852,11.44
117,11.49,11.337,11.743,11.852,11.44
118,11.49,11.337,11.743,11.852,11.44
119,11.49,11.337,11.743,11.852,11.44
120,11.49,11.337,11.743,11.852,11.44
121,11.49,11.337,11.743,11.852,11.44
122,11.49,11.337,11.743,11.852,11.44
123,11.49,11.337,11.743,11.852,11.44
124,11.49,11.337,11.743,11.852,11.44
125,11.49,11.337,11.743,11.852,11.44
126,11.49,11.337,11.743,11.852,11.44
127,11.49,11.337,11.743,11.852,11.44
128,11.49,11.337,11.608,11.852,11.44
